2020-09-01 15:43:09.318 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1045 ms
2020-09-01 15:43:10.683 [main] INFO  org.springframework.aop.framework.CglibAopProxy - Unable to proxy interface-implementing method [public final void org.springframework.web.filter.GenericFilterBean.init(javax.servlet.FilterConfig) throws javax.servlet.ServletException] because it is marked as final: Consider using interface-based JDK proxies instead!
2020-09-01 15:43:11.056 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@71567f33, org.springframework.security.web.context.SecurityContextPersistenceFilter@5dcf0772, org.springframework.security.web.header.HeaderWriterFilter@446b64b3, org.springframework.security.web.authentication.logout.LogoutFilter@2cc75b25, org.lsy.learn.security.auth.filter.JwtTokenAuthenticationFilter@316cda31, org.lsy.learn.security.auth.filter.JwtUserAuthenticationFilter@489bc8fd, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5f6494c0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@38c761e9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5a7b6b75, org.springframework.security.web.session.SessionManagementFilter@56c0a61e, org.springframework.security.web.access.ExceptionTranslationFilter@57c69937, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7b8aebd0]
2020-09-01 15:43:11.123 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-01 15:43:11.367 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8050"]
2020-09-01 15:43:11.384 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8050 (http) with context path '/learn'
2020-09-01 15:43:11.392 [main] INFO  org.lsy.learn.security.SecurityApplication - Started SecurityApplication in 3.56 seconds (JVM running for 4.482)
2020-09-01 15:48:00.680 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-09-01 15:48:03.007 [main] INFO  org.lsy.learn.security.SecurityApplication - Starting SecurityApplication on DESKTOP-VI286HH with PID 22208 (D:\learnProject\security\build\classes\java\main started by 18692 in D:\learnProject\security)
2020-09-01 15:48:03.009 [main] INFO  org.lsy.learn.security.SecurityApplication - The following profiles are active: dev
2020-09-01 15:48:03.547 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-01 15:48:03.549 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-09-01 15:48:03.583 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22ms. Found 0 Redis repository interfaces.
